no,short_code,question_en,question_kh,description,unit_en,unit_kh,group_en,group_kh,validate_rule
165,Fami_Tape_Wat,# families drink tap water,ចំនួនគ្រួសារដែលទទួលទានទឹកម៉ាស៊ីន,# of families usually use tape water or bottle water,Families,គ្រូសារ,water resource,ការប្រើប្រាស់ទឹក,
166,Drink_fillter,# of families use water filter for drinking include fresh water,ចំនួនគ្រួសារដែលទទួលទានទឹកមានសុវត្ថិភាព (ទឹកបរិសុទ្ធ ឬបើ ប្រាស់ឧបករណ៍ចំរោះទឹក ដោយប្រើធុងចមោះសេរាមិក ឬធុង ចម្រះជីវខ្សាច់),# of families use water filter for drinking,Families,គ្រូសារ,water resource,ការប្រើប្រាស់ទឹក,
167,Drink_boil,# of families regularly drink boiled water,ចំនួនគ្រួសារដែលមានទំលាប់ទទួលទានទឹកដោយដាំទឹកឱ្យពុះ,# of families regularly boil water for drinking ,Families,គ្រូសារ,water resource,ការប្រើប្រាស់ទឹក,
168,H2O_HOUSE,# of families that use pump wells or tap in the house or less than 150 meters from house,គ្រួសារដែលមានទឹកអណ្តូងស្នប់ ឬអណ្ដូងលូ ឬបំពង់ទុយោប្រើប្រាស់ដល់ក្នុងផ្ទះ ឬចំងាយជិតជាង១៥០ម៉ែត្រពីផ្ទះ,"# Families with piped water, private pump well or private ring well, usable year round, at their house, less then 150m.",Families,គ្រូសារ,water resource,ការប្រើប្រាស់ទឹក,
169,H2O_150M,# of families that use pump wells or tap over 150 meters oway from house,គ្រួសារដែលមានទឹកអណ្តូងស្នប់ ឬអណ្ដូងលូ ឬបំពង់ទុយោ ប្រើប្រាស់ ដែលមានចំងាយឆ្ងាយជាង១៥០ម៉ែត្រពីផ្ទះ,"# Families with a communal tap, pump well or ring well, usable year round, within 150m of their house.",Families,គ្រូសារ,water resource,ការប្រើប្រាស់ទឹក,
170,TOILET,# of families have own Latrine,ចំនួនគ្រួសារមានបង្គន់អនាម័យប្រើប្រាស់ផ្ទាល់ខ្លួន,# Families with Latrines,Families,គ្រូសារ,toilet,បង្គន់អនាម័យ,
170.1,Fami_Impro_Latri,# of families use Latrine with improved technique,គ្រួសារប្រើប្រាស់បង្គន់អនាម័យមានបច្ចេកទេស,# of families with improved latrine,Families,គ្រូសារ,toilet,បង្គន់អនាម័យ,
170.2,Fami_Unim_Latri,# of families use Latrine with unimproved technique,គ្រួសារប្រើប្រាស់បង្គន់អនាម័យគ្មានបច្ចេកទេស,# of families with unimproved latrine,Families,គ្រូសារ,toilet,បង្គន់អនាម័យ,
171,Fami_Chil_L18_Sick,# of Children under 18 living with parents/care takers severely sick,កុមារអាយុក្រោម១៨ឆ្នាំរស់នៅក្នុងគ្រួសារ ដែលមានឪពុកម្តាយ ឬអ្នកថែទាំមានជំងឺរ៉ាំរ៉,# of families with children under 18 living with parents/care takers severely sick,Families,គ្រូសារ,Children,ក្រុមជនងាយរងគ្រោះ,
171.a,T_F_Chil_L18_Sick,# of Children under 18 living with parents/care takers severely sick,កុមារអាយុក្រោម១៨ឆ្នាំរស់នៅក្នុងគ្រួសារ ដែលមានឪពុកម្តាយ ឬអ្នកថែទាំមានជំងឺរ៉ាំរ៉,# total of children under 18 living with parents/care takers serverly sick,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
171.b,Fe_L18_Pare_Sick,# of Children under 18 living with parents/care takers severely sick,កុមារអាយុក្រោម១៨ឆ្នាំរស់នៅក្នុងគ្រួសារ ដែលមានឪពុកម្តាយ ឬអ្នកថែទាំមានជំងឺរ៉ាំរ៉,# of girls under 18 living with parents/care takers severely sick,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
172,Fami_Chil_L18_Old,# of Children or orphans under 18 living with older person,កុមារឬកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ ដែលរស់នៅជាមួយអ្នកថែទាំចាស់ជរា,# of families with orphaned/abandoned children under 18 living with older persons,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
172.a,T_Chil_L18_Old,# of Children or orphans under 18 living with older person,កុមារឬកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ ដែលរស់នៅជាមួយអ្នកថែទាំចាស់ជរា,# total orphaned/abandoned children under 18 living with older persons,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
172.b,Fe_Chil_L18_Old,# of Children or orphans under 18 living with older person,កុមារឬកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ ដែលរស់នៅជាមួយអ្នកថែទាំចាស់ជរា,# female orphaned/abandoned children under 18 living with older persons,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
173,Fami_Chil_L18_Labor,# of Children or orphan under 18 engaged in hard labor,កុមារឬកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំដែល ធ្វើការងារប្រើប្រាស់កម្លាំងពលកម្មធ្ងន់ធ្ងរ,# of families with orphanes/abandoned children under 18 engaged in hard labour,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
173.a,T_Chil_L18_Labor,# of Children or orphan under 18 engaged in hard labor,កុមារឬកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំដែល ធ្វើការងារប្រើប្រាស់កម្លាំងពលកម្មធ្ងន់ធ្ងរ,# total orphanes/abandoned children under 18 engaged in hard labour,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
173.b,Fe_Chil_L18_Old_Hard,# of Children or orphan under 18 engaged in hard labor,កុមារឬកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំដែល ធ្វើការងារប្រើប្រាស់កម្លាំងពលកម្មធ្ងន់ធ្ងរ,# female orphanes/abandoned children under 18 engaged in hard labour,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
174,Homeless,"# of vagabond/homeless people, who do not have permanent home",ចំនួនមនុស្សជាជនអានាថា គ្មានផ្ទះសំបែងពិតប្រាកដ,"# of vagabond/homeless people, who do not have permanent home ",People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
175,Chil_L18_Hom_Pub,# of street children under 18,ចំនួនកុមារឬក្មេងកំព្រាអាយុក្រោម១៨ឆ្នាំដែលរស់ នៅ តាមចិញ្ចើមថ្នល់,# of vagabond/homeless children below 18 living on public land,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
175.a,Fe_Chil_L18_Hom_Pub,# of street children under 18,ចំនួនកុមារឬក្មេងកំព្រាអាយុក្រោម១៨ឆ្នាំដែលរស់ នៅ តាមចិញ្ចើមថ្នល់,# female vagabond/homeless children below 18 living on public land,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
176,Eld_no_gdn,# of elderly persons without guardian,ចំនួនមនុស្សចាស់ជរាដែលគ្មានទីពឹង,# of elderly persons without guardian ,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
177,HH_publand,# of families living in a house located on public land,ចំនួនគ្រួសារដែលមានផ្ទះរស់នៅលើដីសាធារណៈ,# of families living in a house located on public land ,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
178,HH_AIDS,# of families whose family member is living with HIV/AIDS,ចំនួនគ្រួសារដែលមានសមាជិកក្នុងគ្រួសារមានផ្ទុកជំងឺអេដស៏ និងកើតជំងឺអេដស៍,# of families whose family member is living with HIV/AIDS,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
179,UD18_Die_AIDS,# of orphaned children under 18 yrs old whose parent died of AIDS,ចំនួនកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ ដែលឪពុកឬម្តាយ ឬ ឪពុកម្តាយស្លាប់ដោយសារជំងឺអេដស៍,# of orphaned children under 18 yrs old whose parent died of AIDS,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
180,UD18_gdian,# of under 18‘s orphaned/abandoned children with guardian,ចំនួនកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ ដែលមានអាណាព្យាបាលត្រឹមត្រូវ,# of under 18's orphaned/abandoned children with guardian ,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
181,UD18_No_gdian,# of under 18's orphaned/abandoned children without guardian,ចំនួនកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ ដែលមានអាណាព្យាបាលមិន ត្រឹមត្រូវពិតប្រាកដ,# of under 18's orphaned/abandoned children without guardian ,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
182,UD18_alone,# of under 18's orphaned/abandoned children living alone,ចំនួនកុមារកំព្រាអាយុក្រោម១៨ឆ្នាំ រស់នៅដោយឯកឯង,# of under 18's orphaned/abandoned children living alone,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
183,T_orphaned,# of total orphaned under 18's,សរុបចំនួនកុមារកំព្រាអាយុក្រោម ១៨ ឆ្នាំ,# total orphaned/abandoned children,People,នាក់,#N/A,ក្រុមជនងាយរងគ្រោះ,
184,F_UD18_sex_vict,# of victims of sexual abuse,ចំនួនជនរងគ្រោះដោយសារការចាប់រំលោភផ្លូវភេទ,# of under 18 yrs. Female victims of sexual abuse,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
184.a,F_Ov18_sex_vict,# of victims of sexual abuse,ចំនួនជនរងគ្រោះដោយសារការចាប់រំលោភផ្លូវភេទ,# of over 18 yrs. Female victims of sexual abuse,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
184.1,M_L18_Vic_Sexual,# of victims of sexual abuse,ចំនួនជនរងគ្រោះដោយសារការចាប់រំលោភផ្លូវភេទ,# of under 18 yrs.male  victims of  sexual abuse,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
184.1.a,M_OV18_Vic_Sexual,# of victims of sexual abuse,ចំនួនជនរងគ្រោះដោយសារការចាប់រំលោភផ្លូវភេទ,# of above 18 yrs.male  victims of  sexual abuse,People,នាក់,Children,ក្រុមជនងាយរងគ្រោះ,
